zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
,,,,"Ático en calle Alfredo Aleix, 26, Buena Vista, Madrid",€709.800,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Allendesalazar, 2, Colina, Madrid",€1.510.824,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Almazán, 8, Lucero, Madrid",€852.396,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Ángel Beato, 3, Peñagrande, Madrid",€990.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Antolina Merino, 12, Vista Alegre, Madrid",€300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Antonio Prieto, Zofío, Madrid",€255.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Ardales, Aravaca, Madrid",€1.300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Arroyo del Cañaveral, 114, El Cañaveral, Madrid",€646.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Arte Expresionista, 24, Ensanche de Vallecas - La Gavia, Madrid",€299.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Arte Expresionista, Ensanche de Vallecas - La Gavia, Madrid",€299.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Arte Figurativo, s/n, Ensanche de Vallecas - La Gavia, Madrid",€599.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Arturo Soria, 161, Colina, Madrid",€4.560.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Azucenas, 72, Valdeacederas, Madrid",€350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Bandera, s/n, San Isidro, Madrid",€289.999,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Barranco del Novillo, s/n, Ensanche de Vallecas - La Gavia, Madrid",€576.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Bausá, 13, Costillares, Madrid",€2.595.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Caleruega, 79, Costillares, Madrid",€1.800.000,,,,,,,,,,,,,,,,,,,,,,,
