zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
,,,,"Piso en calle del Almanzora, Aravaca, Madrid",€1.198.800,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Almirante, 20, Chueca-Justicia, Madrid",€3.300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Amparo, 14, Lavapiés-Embajadores, Madrid",€338.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Amparo, 22, Lavapiés-Embajadores, Madrid",€399.990,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Amparo, Lavapiés-Embajadores, Madrid",€3.614.890,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Áncora, Palos de la Frontera, Madrid",€2.070.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Ángel, Palacio, Madrid",€914.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Ánsar, Los Cármenes, Madrid",€206.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Apóstol Santiago, 52, Ventas, Madrid",€198.300,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Apóstol Santiago, 58, Ventas, Madrid",€330.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Apóstol Santiago, Ventas, Madrid",€225.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Arenal, 8, Sol, Madrid",€459.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Arenal, Sol, Madrid",€2.009.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Arroyo Bueno, 4, Villaverde Alto, Madrid",€339.800,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Arroyo de la Media Legua, Media Legua, Madrid",€260.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Arroyo de las Pilillas, s/n, Media Legua, Madrid",€275.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Arroyo del Olivar, San Diego, Madrid",€415.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Arroyo Opañel, 15, Opañel, Madrid",€450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Arte, Costillares, Madrid",€674.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Atlético de Madrid, Puerta Bonita, Madrid",€138.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Ave María, 37, Lavapiés-Embajadores, Madrid",€597.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Ave María, 50, Lavapiés-Embajadores, Madrid",€600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Ave María, Lavapiés-Embajadores, Madrid",€1.298.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Aviador Zorita, Cuatro Caminos, Madrid",€1.394.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Balandro, Alameda de Osuna, Madrid",€320.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Barco, 10, Malasaña-Universidad, Madrid",€760.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Barco, Malasaña-Universidad, Madrid",€2.060.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Bario, 18, Butarque, Madrid",€221.200,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Barranco del Novillo, Ensanche de Vallecas - La Gavia, Madrid",€219.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Brocado, Amposta, Madrid",€175.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Buen Suceso, Argüelles, Madrid",€770.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Caballero de Gracia, Sol, Madrid",€630.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Calvario, Lavapiés-Embajadores, Madrid",€1.312.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Camino de los Vinateros, Marroquina, Madrid",€235.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Camino de los Vinateros, Vinateros, Madrid",€235.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Campo de la Paloma, 52, Palomeras sureste, Madrid",€260.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Campo de la Paloma, Palomeras sureste, Madrid",€754.200,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Canal del Bósforo, 40, Canillejas, Madrid",€249.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Canal del Bósforo, 56, Canillejas, Madrid",€370.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Canal del Bósforo, Canillejas, Madrid",€249.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Capitán Blanco Argibay, 87, Valdeacederas, Madrid",€199.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Capitán Blanco Argibay, Valdeacederas, Madrid",€879.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Cardenal Cisneros, 86, Trafalgar, Madrid",€1.950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Cardenal Cisneros, Trafalgar, Madrid",€3.053.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Cardenal Silíceo, 15, Prosperidad, Madrid",€690.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Cardenal Silíceo, Prosperidad, Madrid",€1.215.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Caribe, 4, San Pascual, Madrid",€680.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Caribe, San Pascual, Madrid",€1.960.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Carnero, Lavapiés-Embajadores, Madrid",€449.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Carril de los Caleros, 24, Aravaca, Madrid",€925.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Carril de los Caleros, Aravaca, Madrid",€6.029.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Casino, Lavapiés-Embajadores, Madrid",€700.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Castillo de Arévalo, Simancas, Madrid",€229.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Castillo de Madrigal de las Altas Torres, 1, Simancas, Madrid",€250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Castillo de Madrigal de las Altas Torres, Simancas, Madrid",€180.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Castillo de Simancas, Simancas, Madrid",€625.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Castillo, Trafalgar, Madrid",€1.390.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Cerro del Carrasco, 13, Casco Histórico de Vallecas, Madrid",€195.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Cerro del Castañar, 193, Mirasierra, Madrid",€550.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Cerro del Castañar, Mirasierra, Madrid",€535.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Cerro, 307, Costillares, Madrid",€899.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Chimbo, Abrantes, Madrid",€223.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Comercio, Pacífico, Madrid",€1.380.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Condado de Treviño, 7, Costillares, Madrid",€995.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Condado de Treviño, Costillares, Madrid",€749.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Conde de Aranda, Recoletos, Madrid",€4.650.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Conde de la Cimera, Ciudad Universitaria, Madrid",€950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Conde de las Posadas, Palomas, Madrid",€780.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Conde de Miranda, 1, Palacio, Madrid",€395.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Conde de Peñalver, 30, Goya, Madrid",€2.390.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Conde de Peñalver, Goya, Madrid",€10.190.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Conde de Peñalver, Lista, Madrid",€2.065.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Conde de Romanones, Lavapiés-Embajadores, Madrid",€470.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Conde Duque, 44, Malasaña-Universidad, Madrid",€800.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Congosto, Casco Histórico de Vallecas, Madrid",€375.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corazón de María, 2, Prosperidad, Madrid",€1.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corazón de María, Prosperidad, Madrid",€329.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corindón, San Fermín, Madrid",€180.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corral de Cantos, San Diego, Madrid",€189.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corregidor Alonso de Tobar, Fontarrón, Madrid",€656.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corregidor Diego de Valderrábano, Media Legua, Madrid",€249.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corregidor José de Pasamonte, 15, Marroquina, Madrid",€215.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corregidor José de Pasamonte, Marroquina, Madrid",€349.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corregidor Juan de Bobadilla, 22, Vinateros, Madrid",€539.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corregidor Juan de Bobadilla, Vinateros, Madrid",€488.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corregidor Juan Francisco de Luján, 19, Fontarrón, Madrid",€240.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Corregidor Señor de la Elipa, Marroquina, Madrid",€151.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Cristo de la Fe, 1, Almendrales, Madrid",€185.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Cristo de la Fe, Almendrales, Madrid",€155.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Datil, Puerta Bonita, Madrid",€170.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Desengaño, 11, Malasaña-Universidad, Madrid",€1.260.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Desengaño, 6, Malasaña-Universidad, Madrid",€770.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Desengaño, Malasaña-Universidad, Madrid",€3.500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Diario la Nación, 19, Puerta Bonita, Madrid",€180.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Divino Pastor, 14, Malasaña-Universidad, Madrid",€919.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Divino Pastor, Malasaña-Universidad, Madrid",€7.656.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doce de Octubre, Ibiza, Madrid",€1.694.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Bellido, 20, San Diego, Madrid",€75.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Bellido, s/n, San Diego, Madrid",€75.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Bellido, San Diego, Madrid",€440.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Casal, Casa de Campo, Madrid",€310.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Castelo, Ibiza, Madrid",€5.835.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Drumen, Lavapiés-Embajadores, Madrid",€790.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Esquerdo, 115, Estrella, Madrid",€590.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Esquerdo, 17, Fuente del Berro, Madrid",€750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Esquerdo, 189, Adelfas, Madrid",€915.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Esquerdo, Adelfas, Madrid",€575.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Esquerdo, Estrella, Madrid",€1.180.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Esquerdo, Fuente del Berro, Madrid",€1.630.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Esquerdo, Niño Jesús, Madrid",€1.885.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Esquerdo, Pacífico, Madrid",€649.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Jerónimo Iborra, Buena Vista, Madrid",€70.050,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del doctor juan josé lópez ibor, 16, Valdezarza, Madrid",€925.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Juan José López Ibor, Valdezarza, Madrid",€2.775.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Mariani, 10, Berruguete, Madrid",€249.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Sánchez, San Diego, Madrid",€350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Tolosa Latour, 23, 12 de Octubre-Orcasur, Madrid",€140.700,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Tolosa Latour, 25, 12 de Octubre-Orcasur, Madrid",€400.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Urquiola, Vista Alegre, Madrid",€83.400,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Zamenhof, 40, Salvador, Madrid",€475.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Doctor Zamenhof, Salvador, Madrid",€798.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Dos de Mayo, Malasaña-Universidad, Madrid",€385.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Duque de Rivas, 6, Lavapiés-Embajadores, Madrid",€700.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Duque de Rivas, Lavapiés-Embajadores, Madrid",€1.460.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Duque de Sesto, 2, Goya, Madrid",€860.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Duque de Sesto, 3, Goya, Madrid",€1.450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Duque de Sesto, Goya, Madrid",€12.355.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Duque de Sevilla, El Viso, Madrid",€950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Estroncio, Los Rosales, Madrid",€145.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Eucalipto, Bernabéu-Hispanoamérica, Madrid",€875.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Galeón, Alameda de Osuna, Madrid",€460.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Álvarez de Castro, Trafalgar, Madrid",€820.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Arrando, 12, Almagro, Madrid",€3.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Cabrera, Cuatro Caminos, Madrid",€478.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Díaz Porlier, 22, Goya, Madrid",€320.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Díaz Porlier, 39, Goya, Madrid",€1.364.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Díaz Porlier, Goya, Madrid",€6.977.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Díaz Porlier, Lista, Madrid",€9.709.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Lacy, 1, Palos de la Frontera, Madrid",€819.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Lacy, Palos de la Frontera, Madrid",€503.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Millan Astray, Águilas, Madrid",€1.068.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Oraá, 69, Lista, Madrid",€599.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Oráa, Castellana, Madrid",€3.045.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Oráa, Lista, Madrid",€599.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Palanca, Chopera, Madrid",€499.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Palanca, Delicias, Madrid",€1.039.999,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, 107, Lista, Madrid",€875.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, 118, Lista, Madrid",€1.495.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, 17, Goya, Madrid",€410.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, 3, Goya, Madrid",€854.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, 31, Lista, Madrid",€630.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, 46, Goya, Madrid",€1.650.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, 48, Goya, Madrid",€900.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, 70, Lista, Madrid",€1.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, 8, Goya, Madrid",€7.295.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, Goya, Madrid",€36.952.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, Lista, Madrid",€18.554.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Pardiñas, s/n, Lista, Madrid",€1.459.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Ramírez de Madrid, Cuatro Caminos, Madrid",€485.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Ricardos, 57, Opañel, Madrid",€329.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del General Ricardos, Opañel, Madrid",€3.073.990,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Ginebro, 12 de Octubre-Orcasur, Madrid",€269.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Ginebro, 3, 12 de Octubre-Orcasur, Madrid",€171.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Golfo de Salónica, 45, Costillares, Madrid",€670.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Golfo de Salónica, Costillares, Madrid",€1.186.600,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Gorrión, San Isidro, Madrid",€2.460.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle Del Hachero, 33, San Diego, Madrid",€149.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Hachero, San Diego, Madrid",€130.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Halcón, Vista Alegre, Madrid",€349.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Jardín de la Duquesa, Casco Histórico de Vicálvaro, Madrid",€218.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Jardín de San Federico, 9, Goya, Madrid",€335.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Jardín de San Federico, Goya, Madrid",€2.487.300,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Jaspe, Pradolongo, Madrid",€170.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Jazmín, 17, Costillares, Madrid",€960.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Jazmín, Costillares, Madrid",€309.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Labrador, Acacias, Madrid",€2.483.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Lago Iseo, Casco Histórico de Vicálvaro, Madrid",€101.300,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Lago Leman, Casco Histórico de Vicálvaro, Madrid",€139.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Laurel, 11, Acacias, Madrid",€350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del León, Huertas-Cortes, Madrid",€529.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Limón, Malasaña-Universidad, Madrid",€1.554.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Maestro Ángel Llorca, Vallehermoso, Madrid",€5.550.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Mar de Aral, Pinar del Rey, Madrid",€774.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Marqués de Jura Real, 21, Comillas, Madrid",€290.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Marqués de Jura Real, Comillas, Madrid",€260.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Marqués de la Ensenada, Chueca-Justicia, Madrid",€1.605.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Marqués de Portugalete, San Pascual, Madrid",€550.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Marqués de Santa Ana, Malasaña-Universidad, Madrid",€1.615.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Marqués de Urquijo, Argüelles, Madrid",€8.165.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Marqués Viudo de Pontejos, Sol, Madrid",€490.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Mediodía Chica, Palacio, Madrid",€716.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Mediodía Grande, 14, Palacio, Madrid",€648.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Mesón de Paredes, 26, Lavapiés-Embajadores, Madrid",€315.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Mesón de Paredes, 34, Lavapiés-Embajadores, Madrid",€480.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Mesón de Paredes, 7, Lavapiés-Embajadores, Madrid",€556.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Mesón de Paredes, 82, Lavapiés-Embajadores, Madrid",€465.240,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Mesón de Paredes, Lavapiés-Embajadores, Madrid",€3.946.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Molino de Viento, 5, Malasaña-Universidad, Madrid",€490.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Molino de Viento, Malasaña-Universidad, Madrid",€1.500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Monasterio de Liébana, 9, Montecarmelo, Madrid",€640.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Monasterio de Oseira, 28, Montecarmelo, Madrid",€744.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Monte Esquinza, 9, Almagro, Madrid",€1.635.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Monte Esquinza, Almagro, Madrid",€9.840.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Monte Oliveti, Numancia, Madrid",€125.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Monte Perdido, Palomeras Bajas, Madrid",€73.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Monte Perdido, San Diego, Madrid",€245.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Naranjo, 99, Berruguete, Madrid",€270.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Naranjo, Berruguete, Madrid",€250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Olivar, s/n, Lavapiés-Embajadores, Madrid",€339.754,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Olmo, 16, Lavapiés-Embajadores, Madrid",€490.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Olmo, 35, Lavapiés-Embajadores, Madrid",€450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Olmo, Lavapiés-Embajadores, Madrid",€1.455.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Padre Damián, Nueva España, Madrid",€4.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Padre Francisco Palau y Quer, 5, Castilla, Madrid",€590.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Padre Francisco Palau y Quer, Castilla, Madrid",€2.002.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Panizo, Berruguete, Madrid",€460.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Parque de la Paloma, 1, Zofío, Madrid",€204.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en calle del Parque Eugenia de Montijo, 54, Vista Alegre, Madrid",€159.900,,,,,,,,,,,,,,,,,,,,,,,
