provincia,zona,titulo,PrecioActual,PrecioAnterior,metros,habitaciones,ascensor,localizacion,planta,baños,tags,descripcion,Enlace
madrid,moncloa,"Piso en de Evangelina Sobredo Galanes, s/n, Valdemarín, Madrid",642390,0,141,1,S,EXTERIOR,BAJO,0,"VIVIENDA,TERRAZA,LUJO,PISCINA,JARDÍN","OBRA NUEVA DE VIVIENDAS TURÍSTICAS DE LUJO E INTELIGENTES EN VALDEMARIN.48 VIVIENDAS de 1 DORMITORIO, CON LAS MAXIMAS CALIDADES, amplias terrazas y zonas verdes, así como piscinas privadas en plantas altas y bajas.URBANIZACION CON MULTITUD DE SERVICIOS:•Jardín y piscina colectiva.•Piscina Infinity climatizada d",https://www.idealista.com/inmueble/106369090/
madrid,latina,"Piso en calle de Medina del Campo, 18, Cuatro Vientos, Madrid",429500,0,117,3,S,EXTERIOR,3ª,0,"VIVIENDA,TERRAZA,MODERNO","Tramontana es un residencial moderno y de diseño ubicado en la Medina muy cerca del futuro desarrollo de Campamento. Se desarrolla en régimen de cooperativa.Compuesto por viviendas espaciosas de 1, 2, 3 y 4 dormitorios todas con terraza. Luminosas y sostenibles cuentan con aerotermia para maximizar al máximo la efic",https://www.idealista.com/inmueble/107252625/
madrid,tetuan,"Piso en paseo de la Castellana, 105, Cuatro Caminos, Madrid",1275000,0,200,3,S,EXTERIOR,5ª,0,"PISO,REFORMADO,LUJO,SOLO_PARTICULARES","Piso de lujo, recientemente reformado con calidades premiun, se entrega factura y memoria de calidades.La Plaza de Manolete es un conjunto residencial privado entre Castellana 105 y Poeta Joan Maragall, con jardines y 2 plazas aparcamiento asociadas al inmueble.No Agencias, dejar mensaje, datos de contacto y os con",https://www.idealista.com/inmueble/107257064/
madrid,retiro,"Piso en avenida de la Ciudad de Barcelona, Pacífico, Madrid",380000,0,69,2,S,EXTERIOR,3ª,0,"VIVIENDA,EXTERIOR",Se vende estupenda vivienda exterior en el barrio de Pacífico.La vivienda se encuentra en Avenida Ciudad de Barcelona. Se trata de una vivienda exterior de 69M2 construidos según catastro.Se distribuye en salón-comedor que se comunica con una gran cocina-office. Tiene dos habitaciones exteriores a la Avenida Ciudad,https://www.idealista.com/inmueble/106455345/
madrid,retiro,"Piso en calle de Narváez, 72, Ibiza, Madrid",490000,0,54,2,S,INTERIOR,3ª,2,"PISO,REFORMADO,ESTRENAR,HOGAR,NUEVO,ABSTENERSE_AGENCIAS,SOLO_PARTICULARES","ABSTENERSE AGENCIAS, POR FAVORPiso en proceso de reforma, las fotos son orientativas de un piso con características similares¡Tu nuevo hogar te está esperando en el vibrante barrio de Ibiza! Este piso de dos dormitorios y dos baños, completamente reformado, amueblado y a estrenar, será el espacio perfecto para comenz",https://www.idealista.com/inmueble/106731618/
madrid,arganzuela,"Piso en calle de Embajadores, 197, Legazpi, Madrid",260000,0,85,2,S,EXTERIOR,BAJO,0,"VIVIENDA,FINCA,PISCINA,URBANIZACIÓN,PATIO","Estupenda vivienda procedente de una segregación y un cambio de uso, en finca nueva de alto standing en la zona nueva de Legazpi. Se trata de dos viviendas pareadas, en este caso es la vivienda más pequeñas, pues son asimétricas. La urbanización tiene zonas comunitarias en el patio del central de la manzana con piscina",https://www.idealista.com/inmueble/105371630/
madrid,carabanchel,"Piso en calle de Jacinto Verdaguer, Opañel, Madrid",490000,0,111,3,S,EXTERIOR,7ª,0,"TERRAZA,ÁTICO,LUMINOSO,EQUIPADA,HALL,AMUEBLADA,ARMARIOS,EXTERIOR","Increible Ático para actualizar exterior muy luminoso con terraza de 26 m2 en la zona de Comillas.Distribuido en e hall de entrada, salón/comedor, 3 dormitorios (2 de ellos con armarios empotrados), cocina independiente amueblada y equipada, baño completo con plato de ducha y ventana para ventilar, terraza de 26 m2 c",https://www.idealista.com/inmueble/106402140/
madrid,centro,"Dúplex en Huertas-Cortes, Madrid",735000,750000,161,2,N,EXTERIOR,3ª,0,"VIVIENDA,PISO,METRO","Piso de 161 metros construidos distribuidos en dos plantas con dos habitaciones en el barrio de las letras.Magnífica vivienda en un antiguo convento en pleno centro de Madrid. El estado es impecable, con una bonita reforma que a renovado todos los elementos de fontaneria y electricidad, respetando y recuperando los s",https://www.idealista.com/inmueble/105229239/
madrid,retiro,"Piso en calle del Pez Austral, Estrella, Madrid",790000,0,146,4,S,EXTERIOR,,0,"VIVIENDA,PISO,REFORMAR,EXTERIOR","Piso para reformar.Se vende vivienda exterior en la segunda planta de un edificio con ascensor y servicio de conserjería, ubicada en el barrio de Estrella, en Retiro, Madrid. Con 146 m², esta propiedad ofrece una excelente distribución y un gran potencial de reforma para adaptarla a cualquier necesidad.El piso cuent",https://www.idealista.com/inmueble/107164994/
madrid,chamberi,"Piso en Gaztambide, Madrid",1400000,0,277,4,S,EXTERIOR,3ª,0,"VIVIENDA,TERRAZA,AMPLIO,LUMINOSO,HALL,REFORMAR,EXTERIOR","Olisson pone a su disposición esta amplia vivienda exterior, en una tercera planta a reformar en Gaztambide. La propiedad de 277m2 se distribuye en un amplio hall de entrada, desde donde accedemos a un luminoso salón con terraza, dividido en tres ambientes separados entre si por dos pasos de puertas corredera de madera",https://www.idealista.com/inmueble/106603804/
madrid,centro,"Piso en calle del Ave María, Lavapiés-Embajadores, Madrid",149500,168500,25,1,N,INTERIOR,BAJO,0,"VIVIENDA,PISO,REFORMADO,OPORTUNIDAD,ESTRENAR","MAGNÍFICO PISO REFORMADO EN PLENO CENTROExcelente oportunidad de adquirir un piso reformado a estrenar en pleno centro de Madrid, ideal tanto como primera vivienda como para inversión. La propiedad se encuentra en un barrio vibrante y en constante expansión, que combina la modernidad con el encanto de lo tradicional.",https://www.idealista.com/inmueble/106848959/
madrid,centro,"Piso en calle de los Estudios, Lavapiés-Embajadores, Madrid",450000,0,62,1,S,INTERIOR,2ª,2,"VIVIENDA,REFORMADA,SUITE,METRO,ESTUDIO,ARMARIOS","Vivienda reformada en venta a 350 metros de la Plaza Mayor y a 700 metros de la Puerta del Sol.Situada en la Calle de los Estudios, en la 2ª planta de un edificio con ascensor. Consta de 62m2 construidos y dispone de 1 dormitorio y 2 baños, uno de ellos en suite. Armarios empotrados en la entrada y en la habitación.",https://www.idealista.com/inmueble/106558020/
madrid,san-blas,"Chalet adosado en calle del Canal del Bósforo, Canillejas, Madrid",353000,359000,80,2,,,,1,"OPORTUNIDAD,CHALET,HOGAR","¡Descubre la oportunidad de transformar este encantador chalet adosado en el hogar de tus sueños! Situado en una ubicación privilegiada, este inmueble te ofrece la libertad y tranquilidad que siempre has deseado. Con 81 m² construidos y 75 m² útiles, este chalet cuenta con dos acogedores dormitorios y un baño, perfecto",https://www.idealista.com/inmueble/106646866/
